항목,내용,학습 파라미터 수,실행 명령
실행 B2,시험 지진: 2018 오사카,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2018 오사카 --out results/loeo/B2/2018 오사카
실행 B2,시험 지진: 2018 훗카이도,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2018 훗카이도 --out results/loeo/B2/2018 훗카이도
실행 B2-w1,시험 지진: 2000 돗토리,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 1 --test-event 2000 돗토리 --out results/loeo/B2-w1/2000 돗토리
실행 B2-w1,시험 지진: 2004 니가타현주에쓰,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 1 --test-event 2004 니가타현주에쓰 --out results/loeo/B2-w1/2004 니가타현주에쓰
실행 B2-w1,시험 지진: 2016 구마모토,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 1 --test-event 2016 구마모토 --out results/loeo/B2-w1/2016 구마모토
실행 B2-w1,시험 지진: 2018 오사카,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 1 --test-event 2018 오사카 --out results/loeo/B2-w1/2018 오사카
실행 B2-w1,시험 지진: 2018 훗카이도,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 1 --test-event 2018 훗카이도 --out results/loeo/B2-w1/2018 훗카이도
실행 B2-w10,시험 지진: 2000 돗토리,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 10 --test-event 2000 돗토리 --out results/loeo/B2-w10/2000 돗토리
실행 B2-w10,시험 지진: 2004 니가타현주에쓰,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 10 --test-event 2004 니가타현주에쓰 --out results/loeo/B2-w10/2004 니가타현주에쓰
실행 B2-w10,시험 지진: 2016 구마모토,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 10 --test-event 2016 구마모토 --out results/loeo/B2-w10/2016 구마모토
실행 B2-w10,시험 지진: 2018 오사카,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 10 --test-event 2018 오사카 --out results/loeo/B2-w10/2018 오사카
실행 B2-w10,시험 지진: 2018 훗카이도,46,train.py --prior-family area --area-link log --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 10 --test-event 2018 훗카이도 --out results/loeo/B2-w10/2018 훗카이도
실행 B0-logit,시험 지진: 전체(가린 지진 없음),44,train.py --prior-family area --area-link logit --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --fix-b --out results/loeo/B0-logit
실행 B2-logit,시험 지진: 2000 돗토리,46,train.py --prior-family area --area-link logit --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2000 돗토리 --out results/loeo/B2-logit/2000 돗토리
실행 B2-logit,시험 지진: 2004 니가타현주에쓰,46,train.py --prior-family area --area-link logit --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2004 니가타현주에쓰 --out results/loeo/B2-logit/2004 니가타현주에쓰
실행 B2-logit,시험 지진: 2016 구마모토,46,train.py --prior-family area --area-link logit --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2016 구마모토 --out results/loeo/B2-logit/2016 구마모토
실행 B2-logit,시험 지진: 2018 오사카,46,train.py --prior-family area --area-link logit --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2018 오사카 --out results/loeo/B2-logit/2018 오사카
실행 B2-logit,시험 지진: 2018 훗카이도,46,train.py --prior-family area --area-link logit --lam-gamma 10 --b-min -2 --b-max 4 --seed 0 --epochs 3000 --mtn-prior --ls-bce-weight 4.35 --test-event 2018 훗카이도 --out results/loeo/B2-logit/2018 훗카이도
